water_flux_ms,vapor_flux_ms
-4.529468640959511e-09,-3.2575073937394492e-15
-3.749146432153603e-08,-2.2598077986729714e-14
-1.367885846738046e-07,-7.210475089197629e-14
-2.9845541877962664e-07,-1.4271430304836095e-13
-4.549101033963042e-07,-2.0190752789521639e-13
-5.553421784461995e-07,-2.2723829531374122e-13
-6.269910023797668e-07,-6.975539811300962e-13
-7.219797629989401e-07,-3.227237377220006e-12
-8.310990171234587e-07,-9.087815175507426e-12
-8.698997512936894e-07,-1.6606939327298226e-11
-7.625423920226976e-07,-2.189064976908926e-11
-5.420479718775107e-07,-2.2101695334451568e-11
-3.3661133405597963e-07,-1.711435202414726e-11
-2.490088721091332e-07,-8.940748657287204e-12
-2.934176695568291e-07,-3.8189287007800227e-13
-4.319463047157495e-07,6.2176324820594734e-12
-5.996167591337852e-07,-8.497888834064515e-10
-7.177183997199388e-07,-5.4730845589329965e-09
-7.279766636698739e-07,-1.6165799674158935e-08
-6.124202652304333e-07,-2.990175120501526e-08
-4.0270773445645295e-07,-3.960899013886071e-08
-1.605213403444787e-07,-4.0102398133288084e-08
5.925047327100257e-08,-3.111097262379629e-08
1.981708114565411e-07,-1.626151893684705e-08
1.968867350126347e-07,-5.952251486864716e-10
5.4972781267220067e-08,1.1686709576847803e-08
-1.4966462935966312e-07,1.8449564490214415e-08
-3.086355351611269e-07,1.973930106591228e-08
-3.469157565172008e-07,1.6631139937127838e-08
-2.7766632411422904e-07,9.600891065824703e-09
-1.9329626470241736e-07,-7.752064727581613e-10
-1.8596502268047184e-07,-1.2436040751044589e-08
-2.855877003253484e-07,-2.3860309173047633e-08
-4.504922512930549e-07,-3.465503241813789e-08
-5.884450785465913e-07,-4.225796121815282e-08
-6.176803418681074e-07,-4.232760569995679e-08
-5.350171086486789e-07,-3.3039106767991806e-08
-4.0825301642612105e-07,-1.7595790609759292e-08
-3.102606415138879e-07,-3.722768558514669e-09
-2.650321115178941e-07,1.4382262211592618e-09
-2.2227656507271964e-07,-2.171566467424046e-09
-9.67349025667514e-08,-8.206948646316803e-09
1.3681659975825045e-07,-1.025127396682491e-08
4.148505729861784e-07,-6.635995848652694e-09
6.395055942725689e-07,-1.5870377507112287e-09
7.335155272951637e-07,-7.809347788700442e-10
6.924809105612799e-07,-4.635213033408588e-09
5.923890427414674e-07,-8.270657568145066e-09
5.12678394789724e-07,-7.022011195313955e-09
4.803174043227511e-07,2.330326480778343e-10
4.777322212739003e-07,1.1421175936322894e-08
4.647366562597924e-07,2.3072986955507484e-08
4.1809370661218624e-07,3.210939675219794e-08
3.4838090612828754e-07,3.6890603463902043e-08
2.678853211044463e-07,3.7399109102672895e-08
1.821549630195563e-07,3.393825415755006e-08
1.024158898017983e-07,2.524770550513988e-08
4.295415106461223e-08,1.0514990385997553e-08
2.8613495898834288e-08,-6.284142186049501e-09
8.066877178004011e-08,-1.7763278491673116e-08
1.8128059898063735e-07,-1.892900001161339e-08
2.9373073708615924e-07,-1.0829672142201764e-08
3.929548489057529e-07,-4.880776237054852e-10
4.564574979567974e-07,4.392252754433452e-09
4.826309315066724e-07,2.4727271196588877e-09
5.037955702942777e-07,-1.2945490807864636e-09
5.331427231288053e-07,-1.5521496286492435e-09
5.337372014216773e-07,2.8420375561965426e-09
4.6179162525062373e-07,7.638953273754323e-09
3.2173503248620326e-07,7.470083018978203e-09
1.8074616886492808e-07,2.3452606509645112e-09
1.1581556167746003e-07,-2.4823711192872875e-09
1.4484558167659357e-07,-2.1239421229770763e-09
2.3639270755416555e-07,4.59879810027342e-09
3.6050704891543454e-07,1.5542821681076265e-08
5.087354121668474e-07,2.7108479738995464e-08
6.786145031317626e-07,3.5224339063159955e-08
8.314433270131115e-07,3.5249681206979696e-08
8.970436415684731e-07,2.4822936815727277e-08
8.490454072582593e-07,8.129424993222275e-09
7.250118217290236e-07,-6.116830540938447e-09
5.721754290023017e-07,-1.1225404356121701e-08
4.3124663934744903e-07,-5.890729687556848e-09
3.3677313892372407e-07,6.700991680307862e-09
2.9315542984763164e-07,2.1395859402639097e-08
2.981462816456587e-07,3.35252732437651e-08
3.7301840720096543e-07,4.039234522613915e-08
5.10024098929088e-07,4.159355086044548e-08
6.289998474521565e-07,3.846591505263888e-08
6.33816157055322e-07,3.314229825602155e-08
4.983437758661245e-07,2.765678263918878e-08
2.9274769461309856e-07,2.3372839024481494e-08
1.38588295284851e-07,2.080775584027863e-08
1.4480765584243967e-07,1.9773264176961355e-08
3.4497626929022856e-07,1.9681422129933774e-08
6.437070831965256e-07,1.9866357107322352e-08
8.682158882251329e-07,1.9817818609172815e-08
9.147517183813583e-07,1.928504217801536e-08
8.070326216569219e-07,1.8263937003752925e-08
6.249896423410907e-07,1.691212960273804e-08
4.408966747026322e-07,1.544337487900699e-08
2.9806499760885404e-07,1.4041395428260252e-08
1.9947517761202676e-07,1.2813184005529098e-08
1.3526033241907185e-07,1.0922986207109488e-08
1.0848031773568042e-07,5.428041640324652e-09
1.232432959250623e-07,-6.041261097742982e-09
1.8475848558564515e-07,-2.0524562503092423e-08
2.8762823247499954e-07,-3.099432306994746e-08
3.8486517320351024e-07,-3.2282204126623746e-08
4.109497358576849e-07,-2.497033225286784e-08
3.3251389512901895e-07,-1.5570959248625933e-08
1.71444537179092e-07,-1.140690341900087e-08
1.3598653820269292e-08,-1.3638354160943488e-08
-4.310987065260415e-08,-1.732123317908973e-08
1.689376983590844e-08,-1.7224929862259335e-08
1.29943900356276e-07,-1.151338553467401e-08
2.230288715674898e-07,-1.6708304049880923e-09
2.4666560554880283e-07,9.158859420975753e-09
1.9716327031006957e-07,1.7948173395212853e-08
1.146158343291303e-07,2.2912527102740057e-08
4.225132416046106e-08,2.380695337997949e-08
5.86880842767831e-09,2.1585208066529615e-08
4.901588268251638e-09,1.7760465757745478e-08
1.2331866541617733e-08,1.3783537550166225e-08
1.5028997398086448e-08,1.0637420175045343e-08
2.576787296964053e-08,8.706941449779284e-09
3.720803991217383e-08,7.883387188967849e-09
1.4673500638101177e-08,6.9337392855418555e-09
-6.502732752083058e-08,2.5107549671862552e-09
-1.8945404913880468e-07,-8.090267161244806e-09
-3.021321954841707e-07,-2.211349751067387e-08
-3.409526121846138e-07,-3.255939102353439e-08
-2.97719332020667e-07,-3.413894071534744e-08
-1.8531199448342808e-07,-2.6387361574222438e-08
2.309052539919025e-08,-1.273926495423746e-08
3.45472974196213e-07,1.8930181661397988e-09
7.114577808734811e-07,1.3352792829692612e-08
9.730120416611355e-07,1.9478730320095212e-08
9.904129457216527e-07,2.0250717878025267e-08
7.247878285725575e-07,1.6308076175549094e-08
2.712940708954493e-07,6.84287508091215e-09
-1.7936228494643728e-07,-8.569697470484839e-09
-4.3404625004895157e-07,-2.5728834166986684e-08
-4.1967615086628073e-07,-3.7198859125787555e-08
-2.336787032003263e-07,-3.8066812409208035e-08
-6.077086288567481e-08,-2.9520863394906205e-08
-4.3543380189651514e-08,-1.8719062220317313e-08
-2.0994837807633248e-07,-1.3455895618392222e-08
-4.7442772590645056e-07,-1.5104086352304225e-08
-6.998584400675381e-07,-1.955729780828858e-08
-7.910619856252088e-07,-2.432202254353965e-08
-7.428558914517824e-07,-3.051330122334131e-08
-6.173727001770155e-07,-3.931995256414108e-08
-4.872310699777508e-07,-4.902153109011903e-08
-3.6532816257365704e-07,-5.442310389277855e-08
-2.0407293037076608e-07,-5.0013641825621266e-08
-2.788192520059426e-10,-3.454927820148429e-08
1.5209710052771614e-07,-1.2767339143394979e-08
1.4478441107158026e-07,6.075683886196582e-09
-3.4413306873556616e-08,1.3942260080041649e-08
-2.5677584573322874e-07,1.0696297492434701e-08
-3.3086891552076526e-07,3.2503365612099557e-09
-1.7517375468317827e-07,-1.1131219818382508e-09
9.960070790357458e-08,9.731066568976887e-11
2.893578621184343e-07,2.35279161840314e-09
2.6758504803363135e-07,-2.7054132936611093e-09
9.565445153033225e-08,-1.7851848669475784e-08
-3.4698584656821626e-08,-3.540250936425528e-08
-5.342049247719623e-09,-4.3896376366609054e-08
1.1096500097061205e-07,-3.811662639737636e-08
1.4756573951254373e-07,-2.375023502306993e-08
1.5615529999092134e-08,-1.2245693080917131e-08
-2.0478695698509965e-07,-8.025155268423524e-09
-3.3686545773348777e-07,-5.295138891146819e-09
-2.970542361037749e-07,1.9897559986937457e-10
-1.7837912450665028e-07,4.936604934778305e-09
-1.3950881163477762e-07,2.866799132134428e-09
-2.511855862914762e-07,-9.458209599149162e-09
-4.2542162274478243e-07,-2.892034650111956e-08
-4.919011968916353e-07,-4.4987470656058664e-08
-3.819110936225554e-07,-4.764877493480655e-08
-2.0406595656593847e-07,-3.727116929468733e-08
-1.2733003783830212e-07,-2.4905690179148294e-08
-2.2467482523426779e-07,-2.1167667675905754e-08
-4.044684530102122e-07,-2.4220095059029493e-08
-4.918503736045866e-07,-2.1792325820320382e-08
-4.126941075102272e-07,-6.142112071206782e-09
-2.6545182193944215e-07,1.6308092797375342e-08
-2.0688193235291046e-07,3.0175456610985416e-08
-3.033600658049219e-07,2.430596879505759e-08
-4.6337173666865146e-07,1.6307267669101722e-09
-5.13654454862081e-07,-2.227199414182949e-08
-3.8433381371211475e-07,-3.0273045620790626e-08
-1.8716397219740142e-07,-1.570209073840213e-08
-9.687602360547096e-08,1.2253013640902554e-08
-1.9014231740947864e-07,3.5192495715469e-08
-3.7459786243810604e-07,4.106120322140332e-08
-4.709745337904522e-07,3.285396878642568e-08
-3.9993187207863464e-07,2.1521045548695326e-08
-2.570323665686779e-07,1.3142117315750861e-08
-1.9910308222541348e-07,4.621024265136229e-09
-2.965628235956273e-07,-9.217585488472387e-09
-4.7180922325830977e-07,-2.632909486354595e-08
-5.721328698095846e-07,-3.6698878776675893e-08
-5.29092052938686e-07,-3.141480882471125e-08
-4.199710459555703e-07,-1.2506464836093069e-08
-3.726717351495666e-07,7.493798123474816e-09
-4.571722220941041e-07,1.7216928570324778e-08
-6.583457426487979e-07,1.643519123105397e-08
-9.066690117989433e-07,1.3893976597853418e-08
-1.114403406883425e-06,1.823475302854732e-08
-1.197432849839065e-06,3.128116483410812e-08
-1.1155043823807379e-06,4.6886233793344206e-08
-9.059595370880553e-07,5.6690491694457506e-08
-6.433090234573662e-07,5.820231868009344e-08
-3.9254067151040855e-07,5.562321733452361e-08
-2.10930930962474e-07,5.4300572846348604e-08
-1.2799182426232398e-07,5.594343517723882e-08
-1.2985785208496136e-07,5.7112205217371476e-08
-1.841699160920058e-07,5.3192161445402514e-08
-2.3506089833727422e-07,4.470286503052569e-08
-2.109742804318161e-07,3.710539520783815e-08
-9.657447422428207e-08,3.5245131795306056e-08
4.631692671020901e-08,3.9253858039304456e-08
1.35991176090614e-07,4.30056174580616e-08
1.3028400330870197e-07,3.761440288519011e-08
8.223549996560193e-08,2.0814171058639418e-08
1.1771561821430701e-07,1.2026593149688784e-09
2.889797287227527e-07,-9.307513650984359e-09
4.899529440466551e-07,-5.6405559529711366e-09
5.522329839527289e-07,6.291251396374353e-09
4.018420295846219e-07,1.5049369271211036e-08
1.4266724184376405e-07,1.6424503345284048e-08
-9.413157598163573e-09,1.73395288123665e-08
8.339156717947146e-08,2.4294683554530463e-08
3.506550184485204e-07,3.323819407339733e-08
5.76182796254965e-07,3.273810195033797e-08
5.873985620080433e-07,1.551069070738041e-08
4.1225931206197095e-07,-1.2440603288217485e-08
2.5888890441586285e-07,-3.4875907673663164e-08
3.130773195638415e-07,-3.8273594115340316e-08
5.503718713901924e-07,-2.1469298970017507e-08
7.569329428978787e-07,4.787982767955363e-09
7.347730961469594e-07,2.6756322210358166e-08
4.949767294942058e-07,3.787380880508133e-08
2.502769656013367e-07,4.0381585174028286e-08
2.0327410620094288e-07,3.879440785882968e-08
3.480151333928656e-07,3.3295109875485115e-08
4.87546935079378e-07,1.916163913235773e-08
4.352237198884465e-07,-6.464976789722535e-09
1.919430393409149e-07,-3.7331083284797427e-08
-8.817263745078197e-08,-5.95425431217819e-08
-2.888438723164612e-07,-6.210788052148435e-08
-4.2698323205618857e-07,-4.68434550990723e-08
-5.774726555347405e-07,-2.7538697718410596e-08
-7.623332173862279e-07,-1.751620980882081e-08
-8.883215918271078e-07,-1.6109655605902515e-08
-7.838435718101291e-07,-9.77988053503304e-09
-3.558897974154313e-07,1.0570975842875886e-08
2.660019949691672e-07,3.6881314057194555e-08
7.73608703014438e-07,5.073730551675433e-08
9.089400252458274e-07,4.0048060820777396e-08
6.768247266637302e-07,9.40739161400453e-09
3.3335073085204977e-07,-2.327199483551654e-08
1.5153104697980006e-07,-4.077082264123192e-08
1.8952646603796126e-07,-3.936902123364766e-08
2.7900846820157146e-07,-2.947502055282442e-08
2.2527199872951578e-07,-2.372479736203115e-08
1.15790579733286e-08,-2.3911106107164046e-08
-2.034608775542262e-07,-2.093829838708805e-08
-2.824909696190218e-07,-6.714556874701584e-09
-2.5459272800078975e-07,1.712758233771238e-08
-2.6061960307426753e-07,4.0486210298219817e-08
-4.0207558703355896e-07,5.3032063613015166e-08
-6.52657762974271e-07,5.26128783377176e-08
-9.064678780174416e-07,4.520592312186195e-08
-1.0914502428578364e-06,3.829127538270491e-08
-1.2065178935172017e-06,3.529720295740359e-08
-1.261053461806986e-06,3.373541610620176e-08
-1.2151632057151366e-06,2.9192332929943183e-08
-1.0266551880893142e-06,2.1785983437654948e-08
-7.522873001257138e-07,1.6136635212066756e-08
-5.194906624838094e-07,1.6138619330098703e-08
-3.9634854575803677e-07,2.126228003020326e-08
-3.6506655840768403e-07,2.6051394347219146e-08
-3.9141634204947706e-07,2.4637102450892767e-08
-4.4056808662984774e-07,1.7493576443074525e-08
-4.736801949279228e-07,1.1522642896815145e-08
-4.87782514561005e-07,1.3093563598243974e-08
-5.161522013058717e-07,2.171978337767636e-08
-5.825020013490534e-07,2.8831793617423147e-08
-6.659035484596411e-07,2.437555490554672e-08
-6.762772024652609e-07,8.514410471430447e-09
-5.052351259561471e-07,-6.618229605409577e-09
-1.6282483881488738e-07,-1.0189730216269773e-08
1.8535133840168072e-07,-4.292202368350588e-09
3.501422400750912e-07,-1.6683255037562776e-09
2.6914856762897187e-07,-1.3365906991547659e-08
6.492618175228276e-08,-3.768728604045145e-08
-3.0633859284334766e-08,-6.099040644319327e-08
1.380010242858524e-07,-6.98857171486301e-08
5.088619986626016e-07,-6.299344074227396e-08
8.443276474663328e-07,-5.1280029484978044e-08
9.310980641782447e-07,-4.7138599033708984e-08
7.70342350700358e-07,-5.286102704745585e-08
5.593048509000862e-07,-5.94914439887529e-08
4.6200054033647503e-07,-5.681000765233836e-08
4.473783237797432e-07,-4.4240304311484735e-08
3.7295802448231e-07,-3.172115170393939e-08
1.6443519316708727e-07,-2.974534174813776e-08
-9.102338651314507e-08,-3.8662066148296874e-08
-2.172310470955665e-07,-4.807766730106085e-08
-1.3909114089582103e-07,-4.705263321325357e-08
3.3495081539603285e-08,-3.4942709980619195e-08
1.2227495386821572e-07,-2.2040242699984933e-08
3.264767958966882e-08,-1.934222303115733e-08
-1.9693164041164448e-07,-2.7635980932552193e-08
-4.5538956981547e-07,-3.6783042404215464e-08
-6.484387506119434e-07,-3.5039374895090864e-08
-7.251077233150559e-07,-1.7903921137976278e-08
-6.767489014816553e-07,1.0557029986458102e-08
-5.422054283723116e-07,4.168277569714003e-08
-3.6787490141972056e-07,6.785815394799983e-08
-1.7845591227518104e-07,8.688852832126008e-08
-1.4179077173618412e-08,9.942150443147651e-08
5.986940533235323e-08,1.0129287863999766e-07
4.589073290813209e-09,8.364090846477862e-08
-1.4679032062279442e-07,4.3263686668230865e-08
-2.7756441897403383e-07,-9.439524284390327e-09
-2.5635083825482956e-07,-5.410944065742131e-08
-6.458404982320142e-08,-7.340034183525322e-08
1.7503415330290502e-07,-6.545203844219256e-08
3.2663376461990445e-07,-4.400880715276125e-08
3.8208179518459695e-07,-2.452217615440464e-08
4.410382702302901e-07,-1.2007631330640369e-08
5.516422692826009e-07,-2.7834471967004844e-09
6.457135350600867e-07,7.604857300255577e-09
6.44171168685126e-07,2.0386193634992417e-08
5.352925772886249e-07,3.388865255839771e-08
3.5202365859907515e-07,4.53987510278959e-08
1.5682817833718734e-07,5.296192293269602e-08
2.1292208384651515e-08,5.647249966108906e-08
-3.210554654530527e-08,5.727031038080718e-08
-3.588559406992508e-08,5.552011707211153e-08
-3.3047207719582396e-08,4.726412260138703e-08
-4.019572013041738e-08,2.6806748901203777e-08
-6.542580937793069e-09,-4.847669281683082e-09
1.5763181193007748e-07,-3.649435836533718e-08
4.4871200350342526e-07,-5.535888122828247e-08
7.20401413482238e-07,-5.867446513684873e-08
8.038971831875174e-07,-5.453970984498669e-08
6.52556059289263e-07,-5.104212457297598e-08
4.0156058263928986e-07,-4.7860081870807636e-08
2.834616098176606e-07,-3.9567367417990326e-08
4.1305072218339357e-07,-2.3680655916246707e-08
6.702807960830938e-07,-5.6412806736352905e-09
8.270744735029267e-07,3.6798820639759544e-09
7.556022104059391e-07,-1.3238020689517372e-09
5.334310807155567e-07,-1.412591804947999e-08
3.749464529278083e-07,-2.247935325395092e-08
4.300881692672676e-07,-1.974968072230287e-08
6.447959799465902e-07,-9.510043320884869e-09
8.229717837775069e-07,1.3423408361567355e-11
8.055815378138834e-07,4.900695269177909e-09
5.826138137239159e-07,7.276769016421732e-09
2.509344568470214e-07,1.059597571924436e-08
-9.101700736359434e-08,1.6283073419362946e-08
-3.8659081003192514e-07,2.3538894838015176e-08
-6.028162006209899e-07,3.044748789176689e-08
-7.139288407620742e-07,3.5200041895056315e-08
-7.130625077121842e-07,3.685439598266157e-08
-6.308721287159715e-07,3.5505493106090395e-08
